origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
25120A099,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:22:56Z,vehicle,car,24830,1376,1304,10.1869,0
25120A10-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:22:31Z,vehicle,car,25432,1351,1272,10.3522,0
25120A190,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:23:29Z,vehicle,car,25986,1409,1329,10.5377,0
25120A20-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:20:11Z,vehicle,car,24182,1211,1143,9.745,0
25120B00-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:24:20Z,vehicle,car,25152,1460,1340,9.1323,0
25120B099,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:25:00Z,vehicle,car,26284,1500,1373,9.3957,0
25120B10-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:26:55Z,vehicle,car,27548,1615,1481,9.9005,0
25120B292,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:24:00Z,vehicle,car,26703,1440,1358,10.7699,0
25120C00-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:26:34Z,vehicle,car,27175,1594,1463,9.957,0
25120C010,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:26:37Z,vehicle,car,27530,1597,1466,10.039,0
25120C082,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:28:15Z,vehicle,car,27959,1695,1562,10.2767,0
25120C099,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:28:16Z,vehicle,car,28960,1696,1558,10.4155,0
25120C293,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:28:21Z,vehicle,car,28361,1701,1569,10.4482,0
25120E00-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:29:56Z,vehicle,car,30154,1796,1653,11.0791,0
25120F00-,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:27:26Z,vehicle,car,27987,1646,1553,11.4535,0
25120F109,CENTRE HOSPITALIER BOIS DE L'ABBAYE,"AVENUE DE LA RESISTANCE 2, 4300, WAREMME","CENTRE HOSPITALIER BOIS DE L'ABBAYE -- AVENUE DE LA RESISTANCE 2, 4300, WAREMME","c(5.24900561930061, 50.6918957)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:27:03Z,vehicle,car,32150,1623,1544,12.8584,0
