origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
23096D091,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:59Z,vehicle,car,13659,659,642,5.132,0
23096D183,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:15:56Z,vehicle,car,15931,956,922,6.2513,0
23096E000,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:48Z,vehicle,car,11819,1128,1037,5.0182,0
23096E01-,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:17:24Z,vehicle,car,11061,1044,960,4.6736,0
23096E022,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:33Z,vehicle,car,11336,1113,1030,4.8822,0
23096E032,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:32Z,vehicle,car,11660,1112,1024,4.9459,0
23096E081,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:16:41Z,vehicle,car,17049,1001,942,6.5923,0
24014A39-,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:20:42Z,vehicle,car,12711,1242,1120,5.3111,0
24033A102,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:26:20Z,vehicle,car,16680,1580,1436,6.938,0
24048A034,AZ SINT - MAARTEN,"LIERSESTEENWEG 435, 2800, MECHELEN","AZ SINT - MAARTEN -- LIERSESTEENWEG 435, 2800, MECHELEN","c(4.47573122258368, 51.0514559)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:24:02Z,vehicle,car,18433,1442,1338,6.8951,0
